1,502.4443,212.2140,21.0723,46.3665,0.68722916
1,367.6558,204.1700,21.3359,44.1273,0.35751578
1,373.8298,204.1896,20.8176,43.7957,0.27719170
1,378.0998,211.3301,16.8200,35.5043,0.01165483
2,526.1817,223.3763,25.4249,53.9152,0.66149980
2,368.6619,211.2590,24.2817,48.5695,0.19324723
2,365.3977,211.0907,21.7653,46.2045,0.10093251
3,560.8057,229.4496,24.8187,58.2847,0.62554657
3,364.5043,214.2211,25.9411,54.6344,0.05027056
3,577.4940,232.3413,21.6312,48.5403,0.01809160
3,337.9826,221.4047,27.2123,52.3897,0.01289919
4,346.5196,220.7423,28.6714,52.7599,0.02257937
4,359.4547,214.3620,24.6364,55.0424,0.02052939
4,368.5879,214.5898,27.0869,57.3189,0.01800561
5,391.1537,210.0047,27.9174,66.8115,0.03799069
5,402.0774,210.1466,25.3297,61.2525,0.03636257
5,61.6132,206.4250,26.5943,61.7822,0.02175198
5,408.1929,208.5203,22.9897,55.7731,0.02161685
5,474.8813,212.7314,24.2954,48.4716,0.01913822
5,404.3920,207.7702,30.1913,74.5760,0.01513766
5,390.8520,222.5313,29.9081,67.3376,0.01195748
7,571.2954,203.8734,54.9695,143.8511,0.10616322
7,58.3301,195.1724,21.6966,47.2408,0.02570453
9,380.3934,211.4918,22.2095,48.0048,0.01466002
10,411.8911,210.2510,19.9734,43.8531,0.07729384
11,381.6566,210.8185,20.7131,43.8584,0.07299435
11,406.0999,213.7950,19.7844,41.8376,0.01056078
12,434.0383,214.0719,17.0738,37.0288,0.20675287
12,399.1701,212.6096,18.9427,35.4075,0.12155628
12,427.6597,210.9532,19.6024,39.1661,0.08193066
12,394.4296,211.0721,24.3903,42.5770,0.05428800
12,421.4618,207.6727,19.1845,44.4739,0.02862043
12,403.5131,213.4830,15.9646,31.6114,0.01556113
13,458.9570,212.5284,19.9439,42.1785,0.24994878
13,21.6789,204.5300,28.0963,60.4433,0.18471123
13,464.6076,209.4055,21.2831,46.3068,0.06360802
13,516.0153,212.0039,22.5066,37.5072,0.01352669
14,487.7025,214.1869,22.1117,45.2145,0.56976753
14,569.5309,195.8693,41.7224,100.0011,0.07477187
14,452.5324,211.4924,23.5114,48.4065,0.04973938
14,567.9698,194.3347,34.2026,73.8600,0.01559920
14,22.9794,204.7043,28.2424,53.2101,0.01341250
15,428.1159,212.9085,16.2373,30.6680,0.14654650
15,528.9432,216.1690,24.9382,54.6906,0.06692428
16,576.1749,225.5927,22.6284,50.4930,0.47207499
16,107.3398,209.1100,26.6481,52.2741,0.15357415
16,113.2609,207.9639,22.7713,44.4271,0.10843123
16,349.3024,214.2159,14.5380,29.4364,0.04669489
16,555.8134,210.3913,23.6974,54.4058,0.03986207
16,118.6479,207.5956,17.9015,35.1153,0.03811934
16,148.0737,214.3004,14.8010,28.2504,0.02647683
17,444.7435,204.3870,19.0534,41.0838,0.73698348
17,460.0554,203.6548,19.8501,43.1338,0.72740626
17,568.0508,207.5508,26.3147,62.7575,0.01672768
18,452.7169,217.9190,18.9944,42.1660,0.74841452
18,466.8411,216.8886,19.3807,42.1829,0.73562598
18,76.7379,206.0414,21.6359,40.1163,0.01569753
18,53.6124,207.0343,27.4577,54.0240,0.01047091
